job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Account Executive (Sales Wifi),PT BINAJASA SUMBER SARANA,"Ulee Kareng, Banda Aceh, Nanggroe Aceh Darussalam",Full Time,1-3 tahun,High School,Rp 2.600.000 - Rp 5.000.000,"Sales Analysis, Client Services, Account Management, Sales Strategy, B2C Sales, Sales and Marketing",Melakukan negosiasi dan penjualan produk wifi kepada klien | Menawarkan produk wifi secara door to door | Melaporkan aktivitas harian secara teratur,2026-03-03,Glints
Akusisi Merchant,PT BINAJASA SUMBER SARANA,"Gubeng, Surabaya, Jawa Timur",Full Time,1-3 tahun,Diploma,Rp 5.000.000 - Rp 5.200.000,"Sales Strategy, B2C Sales, Customer Service, Customer Relationship Management","Onboard 1 komunitas/hari (min. 25 member) | Kunjungi 6 komunitas potensial/hari | Kelola & maintain komunitas via WhatsApp | Share update, SOP, success story & handle issue dengan cepat | Adakan event kecil & gathering per kuartal | Jaga engagement & tingkatkan transaksi Digital Goods",2026-03-03,Glints
Customer Service Officer (Medan),PT BINAJASA SUMBER SARANA,"Medan Petisah, Medan, Sumatera Utara",Full Time,0-1 tahun,High School,Rp 5.000.000 - Rp 5.500.000,"Customer Relationship Management, Customer Service, Communication Skills, Customer Support, Problem Solving",,2026-03-03,Glints
Sales Promotion girl,PT BINAJASA SUMBER SARANA,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 5.000.000 - Rp 7.000.000,"Sales Strategy, Sales and Marketing, Communication Skills",✔ Memberikan layanan terbaik kepada pelanggan | ✔ Menguasai informasi produk yang dijual | ✔ Menjaga citra dan branding toko/produk | ✔ Melaporkan stok barang yang menipis | ✔ Memastikan produk selalu tersedia dan menarik untuk dibeli | 📌 Skill yang Diperlukan | Komunikatif dan ramah | Penampilan menarik dan rapi | Mampu bekerja di bawah target | Dasar negosiasi dan customer service | Jujur dan disiplin,2026-03-02,Glints
Staf Housekeeping,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Contract,1-3 tahun,High School,Rp 2.500.000 - Rp 3.000.000,"Customer Service, Housekeeping, Hotel Cleaning","Membersihkan dan merapikan kamar tamu sesuai standar yang ditetapkan. | Membersihkan area publik | Mengganti linen, handuk, dan perlengkapan kamar sesuai prosedur. | Memastikan kebersihan, kerapihan, dan kenyamanan area kerja setiap saat. | Melaporkan kerusakan fasilitas atau barang hilang kepada atasan. | Menggunakan peralatan dan bahan pembersih dengan benar dan aman. | Menjaga kualitas pelayanan dan kepuasan tamu/penghuni. | Bekerja sama dengan tim dan mengikuti arahan supervisor. | Kewajiban Housekeeping | Hadir tepat waktu dan mematuhi jadwal kerja yang telah ditentukan. | Mengikuti standar operasional prosedur (SOP) dan peraturan perusahaan. | Menjaga sikap sopan, ramah, dan profesional selama bekerja. | Mematuhi standar grooming dan kebersihan diri.",2026-03-02,Glints
Field Verification Officer,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,Diploma,Rp 5.729.875 - Rp 5.729.876,"Building Relation, Data Monitoring, Network Monitoring",,2026-02-24,Glints
Sales,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,0-50 tahun,High School,Rp 3.500.000 - Rp 4.500.000,"Customer Service, Communication Skills, Sales and Marketing",Menawarkan dan menjual produk kepada pelanggan secara keliling area (penempatan sesuai domisili) | Mencari peluang penjualan dan menjalin jaringan dengan calon pelanggan | Melaporkan aktivitas harian secara teratur,2026-02-24,Glints
Sales Wifi,PT BINAJASA SUMBER SARANA,"Semarang Selatan, Semarang, Jawa Tengah",Full Time,0-1 tahun,High School,Rp 3.200.000 - Rp 6.000.000,"Sales and Marketing, Communication Skills, Customer Relationship Management, Sales Management, Sales Strategy, Customer Service","Kualifikasi untuk posisi ini meliputi pendidikan minimal sekolah menengah atas atau menengah atas, serta keterampilan yang relevan seperti customer service, strategi sales, pemasaran, manajemen hubungan pelanggan, komunikasi, dan manajemen sales. Kami mencari individu yang memiliki ambisi tinggi, kemampuan untuk bekerja di bawah tekanan, dan keinginan untuk tumbuh bersama kami. PT BINAJASA SUMBER SARANA memberikan kesempatan yang luar biasa untuk karier yang sukses dan perkembangan yang terus-menerus. Bergabunglah dengan tim kami dan jadilah bagian dari perjalanan kami menuju keberhasilan bersama.",2026-02-23,Glints
Sales Toko Cat,PT BINAJASA SUMBER SARANA,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Full Time,1-3 tahun,High School,Rp 3.000.000 - Rp 5.000.000,"Sales and Marketing, Customer Service, Communication Skills",,2026-02-11,Glints
Sales Canvaser,PT BINAJASA SUMBER SARANA,"Beji, Depok, Jawa Barat",Full Time,0-1 tahun,High School,Rp 3.000.000 - Rp 4.000.000,"Sales Strategy, Salesforce, Sales and Marketing, Communication Skills",Memiliki kendaraan pribadi (motor) dan SIM C aktif | Siap bekerja mobile / door to door | Mampu bekerja secara mandiri maupun dalam tim,2026-02-09,Glints
