job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Finance Accounting Staff,Kalbe Nutritionals (PT Sanghiang Perkasa),Karawang Barat,FULL_TIME,,S1,,S1 Akuntansi / Keuangan,"Mengatur cash flow perusahaan untuk mendukung kegiatan operasional | Membuat laporan keuangan, analisa laporan keuangan setiap bulan kepada Manajemen | Melakukan transaksi operasional day to day ke dalam pencatatan akuntansi yang sesuai dengan PSAK | Melakukan compliance proses pembayaran, penerimaan sesuai dengan aturan yang berlaku dan memastikan tersedianya budget | Melakukan proses pencatatan actual biaya dan status realisasinya secara periodik | Bersedia di tempatkan di PT Kalbe Morinaga Indonesia ( Cikampek Jawa Barat)",2026-02-23,LinkedIn
Process Development Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,INTERN,,SMK,,Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang | Memahami proses uji sampel makanan di laboratorium | Teliti dan memiliki analisa masalah yang baik | Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026,Membantu persiapan uji sampel produk di laboratorium,2026-03-02,LinkedIn
Staff GA (Pulogadung),PT. Sarimelati Kencana Tbk.,Jakarta Timur,CONTRACTOR,,"D3, S1",,"Pendidikan D3 atau S1 Management atau Hukum | Memiliki pengalaman sebagai staff HR atau GA pada food industry/FMCG min 1 tahun | Memahami sistem FSSC 22000, GMP, SJH, dan proses produksi makanan","Berkoordinasi dengan pihak eksternal seperti vendor atau instansi terkait | Mengurus administrasi yang berhubungan dengan HR, seperti surat pengantar, surat perintah lembur, absensi dll | Mengelola filling dokumen HRGA & legalitas perusahaan | Memperhatikan dan mengatur ATK, sarana dan prasarana lainnya | Merekapitulasi dan filling dokumen PR, invoice & advance | Koordinasi dengan house keeping mengelola ruang meeting, mushola & pantry",2026-02-25,LinkedIn
Import Staff,PT. Surya TOTO Indonesia Tbk,Area DKI Jakarta,FULL_TIME,,Bachelor,,"Minimum Bachelor's Degree in any field from reputable university. | Minimum 2 years of experience in the same position. | Have good knowledge of export import documents (COD, PEB, PIB, BL, Invoice) and regulations. | Excellent communication, interpersonal, and negotiation skills. | Fluent in English (written and oral), Mandarin is a plus. | Proficient in Ms. Office (minimum Ms.Word and Excel). | Have a highly integrity, detail oriented, under pressure and hardworking. | Honest and Dress neatly.","Ensure all import activities run well without any issue in customs. | Responsible for arranging, completing, and ensure all documents comply with government regulations, policies, and procedures. | Working closely with overseas suppliers and shipping companies. | Maintain a good relationship with all vendors. | Negotiate terms and contract with vendors.",2026-02-13,LinkedIn
Social Media Junior Officer,PT Bank Sinarmas Tbk,"Jakarta Raya, Indonesia",CONTRACTOR,,S1,,"Pendidikan min. S1 dari jurusan Ilmu Komunikasi, Marketing, Broadcasting, Advertising, Digital Media, atau bidang terkait lainnya. | Mampu menggunakan tools Meta Business Suite, TikTok Creative Center, YouTube Studio, analytics tools, serta platform desain dasar seperti Canva. | Memiliki pengalaman 1 tahun sebagai Social Media Specialist, Content Creator, Digital Marketing Staff, atau peran serupa (fresh graduates dipertimbangkan jika memiliki portofolio yang kuat).","Melakukan penyusunan editorial plan dan kalender konten bulanan sesuai objektif brand. | Melakukan pengembangan ide kreatif dan konsep konten yang storytelling-driven untuk berbagai platform (Instagram, TikTok, YouTube, Facebook, X). | Melakukan pengelolaan akun media sosial, termasuk posting, scheduling, monitoring, dan community management. | Melakukan penyusun caption dan memastikan konsistensi tone of voice brand. | Mendukung pengembangan dan eksekusi kampanye media sosial end-to-end. | Membuat laporan performa media sosial dan menganalisis metrik utama untuk memberikan insight dan rekomendasi perbaikan. | Melakukan riset tren dan menganalisis kompetitor untuk mengembangkan ide konten yang relevan. | Berkoordinasi dengan tim kreatif, digital marketing, serta stakeholder lainnya untuk memastikan eksekusi konten dan kampanye berjalan lancar.",2026-02-25,LinkedIn
Warehouse staff,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,Padalarang,FULL_TIME,,"SMA, SMK",,Fresh graduate dipersilakan melamar (pengalaman warehouse menjadi nilai tambah) | Memahami dasar FIFO dan penyimpanan barang di warehouse | Memiliki ketelitian dan kecepatan kerja yang baik,Sehat jasmani dan siap bekerja di area warehouse (aktivitas fisik),2026-03-03,LinkedIn
Officer Development Program 2026 - National Hiring,PT Bank Mandiri (Persero) Tbk.,"Jakarta Raya, Indonesia",FULL_TIME,,"S1, Bachelor, S2, Master",,"Local or International Bachelor's graduates (S1) or Master's/post-graduate (S2) in the relevant field of studies from a reputable University | Grade Point Average: Bachelor's degree (S1) at minimum 3,00 on a 4,00 GPA scale, or equivalent / or / Master's degree (S2) at minimum 3,20 on a 4,00 GPA scale, or equivalent | Maximum age at selection: Bachelor's degree (S1) at 25 years old / or / Master's degree (S2) at 27 years old | Demonstrate professional dispositions with good networking and communication skills | Fluent in English, both written and verbal communication | No member of the nuclear family currently works in Bank Mandiri (i.e., parents, siblings) | Single, never been married, and willing to remain unmarried during the first year of the program's journey | Willing to be relocated all over Indonesia | Good networking skills in formal and non-formal approaches with various levels of correspondence | Entrepreneurial, eager to connect with others, and willing to be part of related activities inside and outside of the organization to achieve goals | Good critical thinking and analytical skills in inquiring and acquiring relevant, comprehensive information | Excellent in communicating ideas, clearly and effectively to gain understanding and commitment from others","Bank Mandiri is one of the biggest, leading financial institutions in Indonesia, providing services to customers with a wide array of banking, investing, asset management, and other sustainable financial products and solutions. We believe that digital technology will continue to change Indonesia’s banking landscape in the future, along with the rapid migration of people’s activities to digital channels. Having started the digital transformation journey long before the pandemic, Bank Mandiri reaffirms our commitment to accelerating digital transformation and innovation towards becoming the best modern, digital bank in Indonesia to provide a better life for customers through our integrated digital financial services. | To support our aspirations, our various business segments, and our strong performance-driven culture across the organization, Bank Mandiri is committed to attracting and retaining high-quality talents across the country to assure our further accomplishments. You will be immersed in an exceptional and challenging work environment and surrounded by colleagues and leaders who are passionate about helping you grow.",2026-02-26,LinkedIn
Human Resources and Training Coordinator,Hotel Indonesia Kempinski Jakarta,Jakarta Pusat,FULL_TIME,,"SMA, Diploma, Bachelor",,Diploma or Bachelor's Degree in Hospitality and Tourism | A minimum of three (3) years of experience in the hospitality industry | One year in a similar position within a luxury brand | English – excellent oral and written skills | Local language – excellent oral and written skills,"The job of Human Resources & Training Coordinator is executed satisfactorily when: | I. Recruitment : | Employment requests are acknowledged within 48 hours. | Every applicant receives a personalised response to their application. | Applicant correspondence is handled in a timely and professional manner, and interviews are set up on behalf of management. | CVs are distributed to Heads of Department and followed up on. | Every applicant receives a final response to their employment request. | All vacancies are posted. | The hotel page of the recruitment web-site is up-to-date and well-maintained. | All new joiners are personally welcomed and the necessary paperwork completed in an organized and efficient manner. | New joiner starting dates are communicated and coordinated with the respective HODs and the Training department. | II. Learning and Development Administration. | Coordinating, organising, and managing all logistical aspects of employee training programs. Key duties include scheduling sessions, managing participant attendance records in databases, preparing training materials, acting as a liaison with trainers/vendors, and ensuring compliance with company training policies | III. Human Resources Administration: | Every employee has a complete employee file | Employee and payroll data are maintained in systems | Vacation and sick leave are tracked. | Employees anniversaries are tracked and anniversary gifts and cards are personally handed over by the Head or Department, Hotel and/or General Manager. | IV. Employee Relations | The employee communication boards are up-to-date and attractive.",2026-02-11,LinkedIn
Danamon Bankers Trainee (DBT),PT Bank Danamon Indonesia Tbk,"Jakarta Raya, Indonesia",FULL_TIME,,"S1, Bachelor, S2, Master",,"You will experience the whole aspect of banking business and have the privilege exposure to the Top Executives and Senior Leaders. Your strategic thinking, creativity & business acumen will be incubated through in-class trainings, assignments, and leadership challenge. You also will get your own buddy and mentor in every phase of your journey with us. | Fresh graduates or those with max 2 years of work experience. | Bachelor’s (S1) or Master’s (S2) degree of any major from respectable local or overseas universities | Possess excellent analytical, communication and interpersonal skills.","IMPORTANT: Only candidates who complete this form will be reviewed for the next stage of recruitment: https://bdi.co.id/DBT3031-linkedin | Program Will Start on May 2026 | We are seeking for highly talented fresh graduates to be Danamon future leaders! | Join us, if you are: | Minimum GPA is 3.25 on a 4.0 grade scale | Highly motivated to continue learning, result oriented, persistent, and resilient person. | English language proficiency. | #Danamon #OwnYourFuture #LetsGROW",2026-02-04,LinkedIn
Web Engineer (Contract Based),Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,CONTRACTOR,,Bachelor,,"Bachelor Degree in Information System or related field | Have min. 1 years Experience in Web Engineer | Technical tools : C#/VB Programming Language, .Net, Framework, .NetCore Framework, Entity, Framework (EF), ADO .NET, Javascript, Jquery,SQL & NoSQL Database, Oracle Database, Rest, API, UI/UX Development | Preferable has experinece in Front End Development (Ex.ReactJs, VueJS, ReactNetcore, etc) and Back End Development (Ex. .Net, .NetCore,Pyhton etc) | Has drive for result attitude & innovation | Willing to be placed at Pulogadung, East Jakarta","Develop, modify, and/or enhance applications in accordance with the IT Product functional specifications, while adhering to established standards, internal Software Development Guidelines, and Software Development Security Policies. | Perform System Internal Testing to ensure the application is free from bugs and functional errors, and carry out necessary fixes before handover to the IT Product team. | Prepare and maintain comprehensive and well-structured technical documentation to support future development and maintenance activities. | Execute the development process in accordance with agreed standards, procedures, and timelines to support smooth business operations.",2026-02-25,LinkedIn
