job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Finance Accounting Staff,Kalbe Nutritionals (PT Sanghiang Perkasa),Karawang Barat,FULL_TIME,,S1,,S1 Akuntansi / Keuangan,"Mengatur cash flow perusahaan untuk mendukung kegiatan operasional | Membuat laporan keuangan, analisa laporan keuangan setiap bulan kepada Manajemen | Melakukan transaksi operasional day to day ke dalam pencatatan akuntansi yang sesuai dengan PSAK | Melakukan compliance proses pembayaran, penerimaan sesuai dengan aturan yang berlaku dan memastikan tersedianya budget | Melakukan proses pencatatan actual biaya dan status realisasinya secara periodik | Bersedia di tempatkan di PT Kalbe Morinaga Indonesia ( Cikampek Jawa Barat)",2026-02-23,LinkedIn
Process Development Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,INTERN,,SMK,,Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang | Memahami proses uji sampel makanan di laboratorium | Teliti dan memiliki analisa masalah yang baik | Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026,Membantu persiapan uji sampel produk di laboratorium,2026-03-02,LinkedIn
Staff GA (Pulogadung),PT. Sarimelati Kencana Tbk.,Jakarta Timur,CONTRACTOR,,"D3, S1",,"Pendidikan D3 atau S1 Management atau Hukum | Memiliki pengalaman sebagai staff HR atau GA pada food industry/FMCG min 1 tahun | Memahami sistem FSSC 22000, GMP, SJH, dan proses produksi makanan","Berkoordinasi dengan pihak eksternal seperti vendor atau instansi terkait | Mengurus administrasi yang berhubungan dengan HR, seperti surat pengantar, surat perintah lembur, absensi dll | Mengelola filling dokumen HRGA & legalitas perusahaan | Memperhatikan dan mengatur ATK, sarana dan prasarana lainnya | Merekapitulasi dan filling dokumen PR, invoice & advance | Koordinasi dengan house keeping mengelola ruang meeting, mushola & pantry",2026-02-25,LinkedIn
Import Staff,PT. Surya TOTO Indonesia Tbk,Area DKI Jakarta,FULL_TIME,,Bachelor,,"Minimum Bachelor's Degree in any field from reputable university. | Minimum 2 years of experience in the same position. | Have good knowledge of export import documents (COD, PEB, PIB, BL, Invoice) and regulations. | Excellent communication, interpersonal, and negotiation skills. | Fluent in English (written and oral), Mandarin is a plus. | Proficient in Ms. Office (minimum Ms.Word and Excel). | Have a highly integrity, detail oriented, under pressure and hardworking. | Honest and Dress neatly.","Ensure all import activities run well without any issue in customs. | Responsible for arranging, completing, and ensure all documents comply with government regulations, policies, and procedures. | Working closely with overseas suppliers and shipping companies. | Maintain a good relationship with all vendors. | Negotiate terms and contract with vendors.",2026-02-13,LinkedIn
Social Media Junior Officer,PT Bank Sinarmas Tbk,"Jakarta Raya, Indonesia",CONTRACTOR,,S1,,"Pendidikan min. S1 dari jurusan Ilmu Komunikasi, Marketing, Broadcasting, Advertising, Digital Media, atau bidang terkait lainnya. | Mampu menggunakan tools Meta Business Suite, TikTok Creative Center, YouTube Studio, analytics tools, serta platform desain dasar seperti Canva. | Memiliki pengalaman 1 tahun sebagai Social Media Specialist, Content Creator, Digital Marketing Staff, atau peran serupa (fresh graduates dipertimbangkan jika memiliki portofolio yang kuat).","Melakukan penyusunan editorial plan dan kalender konten bulanan sesuai objektif brand. | Melakukan pengembangan ide kreatif dan konsep konten yang storytelling-driven untuk berbagai platform (Instagram, TikTok, YouTube, Facebook, X). | Melakukan pengelolaan akun media sosial, termasuk posting, scheduling, monitoring, dan community management. | Melakukan penyusun caption dan memastikan konsistensi tone of voice brand. | Mendukung pengembangan dan eksekusi kampanye media sosial end-to-end. | Membuat laporan performa media sosial dan menganalisis metrik utama untuk memberikan insight dan rekomendasi perbaikan. | Melakukan riset tren dan menganalisis kompetitor untuk mengembangkan ide konten yang relevan. | Berkoordinasi dengan tim kreatif, digital marketing, serta stakeholder lainnya untuk memastikan eksekusi konten dan kampanye berjalan lancar.",2026-02-25,LinkedIn
Business Development Officer,Kalbe Consumer Health,"Jakarta Raya, Indonesia",FULL_TIME,,Bachelor,,"Education minimum Bachelor’s degree in Pharmacy, Apothecary, or Food Technology | Minimum 2-3 years experience in Business Development | Strong leadership and negotiation skills","JOIN US TO BE THE BRIGHTEST STAR | We Do Innovative Work That Brings a Better Life | We believe what we do every day is always embedded with innovation. At Kalbe Consumer Health, you will build your career and find your purpose. At the same time, keep innovating to provide best-in-class products for many families. We are looking for those who can bring happiness through quality health products and continuous innovation for a better life. | Position: Business Development Officer | About The Role : | We are looking for a Business Development Officer to drive the company's on new and existing product growth by identifying healthcare trends, developing new opportunities, and enhancing market competitiveness. | What You Will Do? | Responsible for new business or new product development start from ideation up to commercialization | Develop business case for new product or existing product | Set up project timeline for approved business case and do coordination with other department as project leader | Monitoring and make sure the project timeline running on time based on targeted schedule | Gather information and do collaboration and coordination from other related parties (internal and external) | Manage sustainable business from existing brand portfolio | What You Will Need? | Have the ability to speak English, both verbally and in written | Have a good understanding of business processes | Willing to work in East Jakarta | Benefit? | Self-Development opportunity (Training, career path) | About The Team",2026-02-03,LinkedIn
Business Finance & Analytics Officer,PT. Sarimelati Kencana Tbk.,"Jakarta Raya, Indonesia",FULL_TIME,,"S1, Bachelor",,"Min S1/ Bachelor's degree in Finance, Accounting, Business, or related field. | Strong analytical with attention to detail. | Proficiency in budgeting, financial modeling and data analysis. | Knowledge of accounting principles and financial reporting. | Excellent communication and presentation skills. | Advanced proficiency in Microsoft Excel and other relevant financial software. | Experience in creating dashboards with Google Data Studio/Looker is preferable.","We are seeking a detail-oriented and analytical Financial Analyst to join our dynamic finance team. | He/ she will be responsible for providing insightful financial analysis, preparing reports, and supporting decision-making in the Company. | This role involves working closely with various departments to analyze financial data, monitor budgets, and contribute to the financial health of the company. | Financial Analysis: provide comprehensive financial analysis to identify trends, variances, and areas for improvement. | Budgeting and Forecasting: assist in the crafting and monitoring of budgets and financial forecasts. | Reporting: prepare and present clear and concise financial reports for management and stakeholders. | Cost Management: analyze costs and expenses, identifying opportunities for cost savings and efficiency improvements. | Financial Planning: work cross-functionally to support the execution of financial plans. | Data Management: gather, maintain and analyze financial data from various sources, ensuring accuracy and completeness. | Month-end closing: assist in month end closing activities related to budget and FP&A.",2026-02-11,LinkedIn
Management Development Program (MDP),PT Bank Central Asia Tbk (BCA),Jakarta,FULL_TIME,,"S1, Bachelor",,"We challenge you who are highly passionate about leadership in banking to join our Management Development Program (MDP). It is a 1-year intensive training program focused on shaping leaders in BCA where you can experience a wide range of banking lessons. Through MDP, you will have the opportunity to grow yourself and your career path in BCA. | year structured and intensive training to strengthen candidate's soft skills | Possess excellent leadership, interpersonal and communication skills | Hold a Bachelor’s Degree (S1) with a minimum GPA of 3.00","Accelerate your career growth with BCA’s Management Development Program! | What do we offer to you: | Becoming a permanent employee at BCA’s branch office | Pocket money, health insurance, holiday allowances, and year-end allowances | Opportunity to accelerate your career in BCA | What does it take to be in this program? | A growth mindset person who loves challenges | Willing to be placed all over Indonesia | Fresh graduates are welcomed | If the above vacancy catches your eye, apply now!",2026-02-18,LinkedIn
Finance Accounting,LG Sinar Mas,Area DKI Jakarta,FULL_TIME,,Bachelor,,"Bachelor’s degree in accounting from a reputable university | Minimum 2 years of experience in finance or accounting roles | Experience in Big Four accounting firms is an advantage | Fluent in English, both written and verbal, is a must | Good understanding of basic accounting principles and financial processes | Proficient in Microsoft Excel and familiar with accounting software | Detail oriented, well organized, and disciplined | Strong attention to detail and numerical accuracy",Manage and verify supplier invoices to ensure accuracy and compliance | Prepare and process payments to customers and vendors in a timely manner | Record daily financial transactions related to operational activities | Assist in month-end and year-end closing activities | Maintain accurate and well documented financial records | Support internal financial reporting and reconciliation tasks | Coordinate with internal teams and external parties,2026-02-24,LinkedIn
Buyer,PT Lion Super Indo,Jakarta Selatan,FULL_TIME,,"S1, Bachelor",,"Bachelor Degree (S1) from any major | Open to Fresh Graduates and candidates with up to 3–4 years of experience, specifically in Buying | Intermediate skill in Microsoft Office (especially Excel) | ‘Can do’ attitude | Placement: Jakarta (WFO)","This position will evaluate the existing product to create excitement at stores so this position could achieve Buyer’s Key Performance Indicator such as: sales, profit, margin, other income, special project, service level, etc. This position will research some product so can meet the customer need and get the best condition for all product that’s purchased. Furthermore, Buyer need maintain relationship with other parties such as supplier, DC and stores.",2026-02-23,LinkedIn
Warehouse staff,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,Padalarang,FULL_TIME,,"SMA, SMK",,Fresh graduate dipersilakan melamar (pengalaman warehouse menjadi nilai tambah) | Memahami dasar FIFO dan penyimpanan barang di warehouse | Memiliki ketelitian dan kecepatan kerja yang baik,Sehat jasmani dan siap bekerja di area warehouse (aktivitas fisik),2026-03-03,LinkedIn
